City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Sualkuchi,IN,76.98,broken clouds,26.17,91.5709,Silk Route Spa & Resort
303,Catio,GW,84.13,light rain,11.2833,-15.25,Pausada Morabedja
304,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
305,Santa Cruz,BO,86.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
307,Harper,LR,82.18,broken clouds,4.375,-7.7169,Screensaver
309,Leme,BR,76.64,overcast clouds,-22.1856,-47.3903,Habitat Hotel de Leme (centro)
318,Yaring,TH,78.13,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
321,Namatanai,PG,78.67,light rain,-3.6667,152.4333,Namatanai Hotel
322,Lompoc,US,74.01,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
326,Khorramabad,IR,72.64,clear sky,33.4878,48.3558,Azadi Hotel
328,Vao,NC,70.92,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
329,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
333,Devgarh,IN,89.44,few clouds,25.5333,73.9,Deogarh Mahal
334,Sao Filipe,CV,74.59,clear sky,14.8961,-24.4956,Hotel Xaguate
335,Alofi,NU,77.94,scattered clouds,-19.0595,-169.9187,Taloa Heights
336,Gujranwala,PK,86.05,clear sky,32.1617,74.1883,Lepari Hotel & Banquet Hall
337,Ukiah,US,82.04,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
338,Tautira,PF,80.62,clear sky,-17.7333,-149.15,Pension Oaoa
339,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,Derogongan Residence
340,Sinjar,IQ,86.65,clear sky,36.3209,41.8754,زوماني فون 1
341,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
344,Castro,BR,73.29,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
346,Lar,IN,75.74,moderate rain,26.2039,83.9717,Ovaiskarni ward Lar
348,Mahebourg,MU,73.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
350,Laguna,US,81.25,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
351,Tabas,IR,86.4,few clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
356,La Libertad,EC,74.86,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
357,Manta,EC,83.98,scattered clouds,-0.95,-80.7333,Balandra Hotel
358,Marsh Harbour,BS,77.74,broken clouds,26.5412,-77.0636,Abaco Beach Resort
361,Santiago Del Estero,AR,78.96,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
363,Caaguazu,PY,80.82,overcast clouds,-25.45,-56.0167,Hotel El Farol
367,Hamilton,US,81.73,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
368,Hobyo,SO,79.65,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
370,Morondava,MG,73.71,clear sky,-20.2833,44.2833,La Case Bambou
371,Barranca,PE,70.59,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
376,Ericeira,PT,76.19,overcast clouds,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
378,Porto Velho,BR,89.65,light rain,-8.7619,-63.9039,Hotel Central
380,Sola,VU,76.48,overcast clouds,-13.8833,167.55,Leumerus Bungalows
382,Lucea,JM,85.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
383,Gemena,CD,70.72,light rain,3.25,19.7667,Hôtel Goshen
395,Luoyang,CN,75.47,light rain,34.6836,112.4536,易家国际青年旅舍
396,Sur,OM,88.3,clear sky,22.5667,59.5289,Sur Plaza Hotel
398,The Hammocks,US,88.02,clear sky,25.6715,-80.4445,Casa tío Hernan
401,Kloulklubed,PW,83.19,broken clouds,7.0419,134.2556,Storyboard Beach Resort
403,Garowe,SO,82.85,overcast clouds,8.4054,48.4845,Curubo Hotel
404,Kindu,CD,74.05,broken clouds,-2.95,25.95,Résidence Okanda
407,Punalur,IN,78.48,scattered clouds,9.0,76.9333,Motel Araam
408,Vila Velha,BR,80.96,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
412,Manaure,CO,89.82,overcast clouds,11.7751,-72.4445,Hotel Palaaima
415,Kalemie,CD,71.38,clear sky,-5.9475,29.1947,Mahobilali
418,Deqing,CN,73.94,light rain,30.5448,119.9599,Narada Boutique Hotel Huzhou Deqing
419,Dingle,PH,78.96,light rain,10.9995,122.6711,SEGAYA PROPERTY
421,Paita,PE,75.76,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
423,Odweyne,SO,74.61,light rain,9.4092,45.06399999999999,Eng Hiirey House
424,Guarapari,BR,80.91,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
426,Komsomolskiy,UZ,75.58,scattered clouds,40.4272,71.7189,Ikathouse
428,Brewster,US,81.27,clear sky,41.3973,-73.6171,Heidi's Inn
430,Dwarka,IN,83.77,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
431,Srivardhan,IN,84.92,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
433,Porto Belo,BR,80.64,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
434,Anahuac,MX,89.1,clear sky,27.2333,-100.15,Rancho Guadalupe
436,Shubarkuduk,KZ,74.75,scattered clouds,49.1447,56.4872,Sirius
440,Aba,NG,79.29,broken clouds,5.1066,7.3667,Rosies Hotel Limited
442,Digha,IN,85.53,overcast clouds,21.6833,87.55,Khoniker Atithi
443,Korla,CN,78.37,scattered clouds,41.7597,86.1469,Gulisitan Hotel
446,Hirara,JP,82.74,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
447,Huangchuan,CN,72.41,light rain,32.1272,115.0394,Guangzhou International Hotel
448,Faanui,PF,80.38,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
449,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
450,Mitsamiouli,KM,77.99,clear sky,-11.3847,43.2844,Foyer ADM
451,Rio Grande,BR,75.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
456,Bageshwar,IN,71.2,scattered clouds,29.85,79.7667,Danu Janral Store
458,Meadow Lake,US,81.97,few clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
459,Pendleton,US,75.6,clear sky,45.6721,-118.7886,Americas Best Value Inn Pendleton
461,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
466,Pacific Grove,US,73.17,scattered clouds,36.6177,-121.9166,Lovers Point Inn
471,Sibiti,CG,74.26,broken clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
472,Pampa,US,83.57,scattered clouds,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
474,Bintulu,MY,78.3,broken clouds,3.1667,113.0333,900 Boutique INN
475,Pyapon,MM,82.31,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
476,Dicabisagan,PH,79.86,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
479,Boffa,GN,83.62,few clouds,10.1667,-14.0333,Hôtel Niara Belly
481,Flagstaff,US,74.59,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
487,Lae,PG,75.24,overcast clouds,-6.7221,146.9847,Phils Hotel
488,Loandjili,CG,78.28,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
490,Vista Hermosa,MX,80.51,broken clouds,19.5167,-99.2167,Krystal Satélite María Bárbara
492,Salinopolis,BR,84.67,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
493,San Jose,US,73.45,few clouds,37.3394,-121.895,The Westin San Jose
494,Houma,US,89.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
496,Half Moon Bay,US,73.51,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
498,San Luis,AR,72.03,clear sky,-33.295,-66.3356,Huarpes Hotel
502,Sinnamary,GF,75.65,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
503,Vega De Alatorre,MX,87.01,scattered clouds,20.0333,-96.6333,El Polo Norte
509,Bambous Virieux,MU,73.22,light rain,-20.3428,57.7575,Casa Tia Villa
516,Tura,IN,73.06,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
519,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
520,Umm Lajj,SA,87.04,broken clouds,25.0213,37.2685,Moon light Furnished Units
521,Pondicherry,IN,87.42,broken clouds,11.93,79.83,Villa Shanti for food lovers
524,Zaysan,KZ,72.75,few clouds,47.4667,84.8667,Ерлан үй
525,Nogales,MX,87.19,clear sky,31.3086,-110.9422,Hotel Marqués De Cima
527,Boyolangu,ID,75.61,broken clouds,-8.1181,111.8935,Yos ega cv
530,Dong Hoi,VN,79.47,broken clouds,17.4833,106.6,Nam Long Hotel
531,Ouesso,CG,72.0,light rain,1.6136,16.0517,Hôtel LAVOUMA suite
533,Huarmey,PE,71.69,broken clouds,-10.0681,-78.1522,Hotel Miramar
535,Salalah,OM,84.29,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
536,Caravelas,BR,80.46,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
538,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
539,Poplar Bluff,US,89.33,scattered clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
540,Marrakesh,MA,87.87,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
542,High Rock,BS,84.22,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
545,Antsohihy,MG,71.02,clear sky,-14.8796,47.9875,Hotel de Ville
548,Itoman,JP,79.57,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
