City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
80,Puquio,PE,2021-05-20 03:18:30,-14.7,-74.1333,47.17,43,11,2.71
81,East London,ZA,2021-05-20 03:18:31,-33.0153,27.9116,83.34,26,0,11.5
82,San Patricio,US,2021-05-20 03:18:31,28.017,-97.5169,70.84,94,97,8.88
83,Bodden Town,KY,2021-05-20 03:18:31,19.2833,-81.25,81.93,72,59,13.78
84,Whitehorse,CA,2021-05-20 03:18:32,60.7161,-135.0538,59.77,32,40,3.0
85,Kieta,PG,2021-05-20 03:18:32,-6.2167,155.6333,85.17,69,97,4.99
86,Severo-Kurilsk,RU,2021-05-20 03:18:32,50.6789,156.125,43.05,84,64,5.17
87,Ponta Delgada,PT,2021-05-20 03:18:32,37.7333,-25.6667,65.12,100,75,4.61
88,Rawson,AR,2021-05-20 03:18:33,-43.3002,-65.1023,55.87,92,100,17.02
89,Kavieng,PG,2021-05-20 03:18:33,-2.5744,150.7967,85.41,68,19,5.97
90,Bengkulu,ID,2021-05-20 03:18:33,-3.8004,102.2655,83.08,73,98,1.28
91,Avarua,CK,2021-05-20 03:18:33,-21.2078,-159.775,80.65,74,75,17.27
92,Andenes,NO,2021-05-20 03:18:34,69.3143,16.1194,42.78,93,90,8.05
93,Loukhi,RU,2021-05-20 03:18:34,66.0764,33.0381,62.69,76,23,10.4
94,Hobart,AU,2021-05-20 03:15:37,-42.8794,147.3294,58.05,47,40,4.0
95,Constanza,DE,2021-05-20 03:18:34,47.6603,9.1758,48.33,88,98,1.99
96,Pisco,PE,2021-05-20 03:14:35,-13.7,-76.2167,64.45,88,0,5.75
97,Bambous Virieux,MU,2021-05-20 03:18:21,-20.3428,57.7575,72.21,72,77,24.99
98,La Ronge,CA,2021-05-20 03:18:35,55.1001,-105.2842,28.65,54,90,11.5
99,Saskylakh,RU,2021-05-20 03:18:35,71.9167,114.0833,28.22,88,99,10.02
100,Kupang,ID,2021-05-20 03:18:35,-10.1667,123.5833,88.38,55,20,11.5
101,Kapaa,US,2021-05-20 03:18:20,22.0752,-159.319,80.58,69,75,4.0
102,Cabo San Lucas,MX,2021-05-20 03:18:36,22.8909,-109.9124,79.52,68,1,11.5
103,Sitka,US,2021-05-20 03:18:36,57.0531,-135.33,49.89,71,40,16.11
104,Mogadishu,SO,2021-05-20 03:18:37,2.0371,45.3438,78.35,87,100,17.47
105,Sembe,CG,2021-05-20 03:18:37,1.6481,14.5806,70.32,98,92,0.81
106,Polonnaruwa,LK,2021-05-20 03:18:37,7.9333,81.0,86.36,60,74,9.42
107,Madera,US,2021-05-20 03:18:37,37.1666,-119.8343,69.57,28,0,10.65
108,Naranjal,EC,2021-05-20 03:18:38,-2.6667,-79.6167,73.53,93,88,3.33
109,Hovd,MN,2021-05-20 03:18:38,48.0056,91.6419,65.25,28,82,13.91
110,Pacific Grove,US,2021-05-20 03:18:38,36.6177,-121.9166,57.61,76,20,7.0
111,West Bay,KY,2021-05-20 03:18:39,19.3667,-81.4167,82.0,79,47,3.0
112,Clyde River,CA,2021-05-20 03:18:39,70.4692,-68.5914,8.83,72,1,6.91
113,Faanui,PF,2021-05-20 03:18:39,-16.4833,-151.75,81.9,76,100,18.59
114,Georgetown,MY,2021-05-20 03:15:04,5.4112,100.3354,85.95,78,20,3.76
115,Lynchburg,US,2021-05-20 03:18:39,37.4138,-79.1423,65.12,74,1,1.5
116,Karratha,AU,2021-05-20 03:18:40,-20.7377,116.8463,83.64,20,4,15.39
117,Birao,CF,2021-05-20 03:18:40,10.2849,22.7882,79.65,57,44,4.43
118,Srednekolymsk,RU,2021-05-20 03:18:40,67.45,153.6833,43.57,63,94,11.52
119,Arlit,NE,2021-05-20 03:18:41,18.7369,7.3853,88.29,11,0,8.14
